Key,English(en),Korean (South Korea)(to-KR)
Key_Diag_NoticeTitle,Choose a mouse to compete with!,함께 대결할 쥑쥑을 선택해쮸 !
Key_Diag_NoticeContent,"The chosen mouse will give you math problems. Math problems are at the level that the mouse says.<br>If you solve math problems, you can be tested for your Mathranger qualification.",고른 쥑쥑이는 자신이 말하는 수준의 문제를 내줄 거야!<br>문제를 풀면 나의 수학레인저 자격을 시험받을 수 있어!
Key_Diag_NoticeButton,OK!,알았쮸!
Key_Diag_SelectTitle,Choose a mouse to compete with!,함께 대결할 쥑쥑을 선택해쮸 !
Key_Diag_SelectA,I can count! Squeak!,나는 수를 셀 수 있어쮸!
Key_Diag_SelectB,I can add and subtract! Squeak!,나는 덧셈 뺄셈이 가능해쮸!
Key_Diag_SelectC,I can do multiplication and division! Squeak!,나는 곱셈 나눗셈을 할 수 있어쮸!
Key_Diag_SelectD,I know a fraction and decimal! Squeak!,나는 분수와 소수도 알고 있어쮸!
Key_Diag_ProblemTitle,Solve the question!,문제를 풀어봐쮸!
Key_Diag_EndTitle,The result is...,결과는...
Key_Diag_EndText,Good job!<br>The town jjhief will judge you!,수고했어쮸!<br>판단은 쮝장님께서 해주실 거야쮸!
Key_Diag_EndButton,Thank you,고마워쮸